0	2.134078
1	2.145167
2	2.145144
3	2.144383
4	2.143265
5	2.142518
6	2.141366
7	2.141221
8	2.140536
9	2.140385
10	2.140495
11	2.140027
12	2.138709
13	2.13829
14	2.137924
15	2.135647
16	2.137444
17	2.137957
18	2.138865
19	2.139211
20	2.138829
21	2.138748
22	2.134602
23	2.139624
24	2.137564
25	2.137667
26	2.138113
27	2.137614
28	2.137249
29	2.13793
30	2.135724
31	2.136951
32	2.135669
33	2.136047
34	2.137698
35	2.1387
36	2.138007
37	2.138353
38	2.136965
39	2.137008
40	2.135385
41	2.136917
42	2.136415
43	2.13676
44	2.136457
45	2.135781
46	2.135506
47	2.135905
48	2.134652
49	2.134895
50	2.134826
51	2.136224
52	2.130057
53	2.140115
54	2.139698
55	2.139271
56	2.129248
57	2.139878
58	2.129588
59	2.140921
60	2.138397
61	2.13921
62	2.135888
63	2.13286
64	2.142676
65	2.132339
66	2.150823
67	2.150693
68	2.150021
69	2.14865
70	2.14942
71	2.148412
72	2.148231
73	2.147449
74	2.147248
75	2.146285
76	2.143064
77	2.141412
78	2.141193
79	2.141239
80	2.139907
81	2.134995
82	2.129095
83	2.135399
84	2.134842
85	2.133583
86	2.132931
87	2.133873
88	2.131483
89	2.137021
90	2.129972
91	2.129649
92	2.136609
93	2.13205
94	2.136614
95	2.129751
96	2.119012
97	2.117972
98	2.117284
99	2.119864
