1	100	3.1816127946932977	3.1806210113547233	0.0009917833385744146	3.1811938151963095		2.8433689499218176e-08	0.00016947241216215328
2	100	1.5376600956988948	1.5373643270147193	0.0002957686841755791	1.537503710757231		3.1806854181863626e-09	5.668168622865412e-05
3	200	1.5382457787149861	1.5379234739715253	0.0003223047434608439	1.538109080165374		2.984361187727845e-09	5.4766394601214386e-05
4	300	1.535285223515941	1.5347690843979096	0.0005161391180315	1.5350556716606374		4.50222461971349e-09	6.721073000003259e-05
5	300	1.5352247377199895	1.5349318423989582	0.00029289532103127236	1.5350805293471277		3.0531101487992527e-09	5.534727833896643e-05
6	300	1.5352492889561264	1.534930821203694	0.0003184677524323831	1.5350979355202845		2.848882609405402e-09	5.346410613569035e-05
7	400	1.5353926242237237	1.534966044931511	0.000426579292212681	1.5352025097844233		4.738866950709443e-09	6.892563971582005e-05
8	400	1.5354244589849053	1.5350015189522852	0.0004229400326201116	1.5352432985383575		3.438451851988985e-09	5.8711749469790917e-05
9	400	1.5354552500244565	1.5350475102831056	0.00040773974135088764	1.5352211126457502		4.062567075280035e-09	6.381809263562456e-05
10	400	1.5354903410970064	1.535084268306748	0.0004060727902583938	1.5352762599745118		3.5661445090348914e-09	5.979199122433806e-05
9	400	1.5361458608539167	1.5357143132465108	0.00043154760740593545	1.5359610800761814		3.6782479169903245e-09	6.072451385930518e-05
10	400	1.5361576346346073	1.5357600242492198	0.0003976103853875479	1.5359668356816132		3.1778422813710912e-09	5.6442951715577467e-05
9	500	1.5361674336038675	1.53586308988299	0.00030434372087762007	1.536010608291769		3.3897371048592293e-09	5.827975776536488e-05
9	500	1.5339522533332406	1.5335222350158013	0.00043001831743927355	1.533721371336065		5.43987677978492e-09	7.382938667263758e-05
10	500	1.5348862715603049	1.5345127443632256	0.00037352719707928195	1.5347095802609465		4.30602329084859e-09	6.568601522425204e-05
11	500	1.5350410026662276	1.53466073758275	0.00038026508347765997	1.5348757877394559		4.041906759952325e-09	6.363966352440373e-05
12	500	1.5351269807998338	1.5347328569953353	0.0003941238044984363	1.5349195603483603		4.092172769585733e-09	6.40341589826787e-05
13	500	1.5351547157623824	1.5347486304574762	0.00040608530490615635	1.5349558688758878		3.9729245043994545e-09	6.309426500842498e-05
1	499	1.5397302537273954	1.5396817219230627	4.853180433261883e-05	1.5396973325392884		6.087923144055389e-11	7.810344351771295e-06
2	499	1.539734083209635	1.5396733946763883	6.068853324658896e-05	1.5396950524105788		7.302017208565248e-11	8.553759345295499e-06
3	499	1.5398004759193682	1.5397214183860184	7.905753334980226e-05	1.539749622314304		1.3851495858407404e-10	1.1781048385911613e-05
4	499	1.5398306662558228	1.539757047588426	7.361866739685752e-05	1.5397779964217366		1.1159137474174087e-10	1.057428266160345e-05
5	499	1.5398606563579125	1.5397825349202214	7.812143769103663e-05	1.53980883591981		1.6582662268708988e-10	1.2890291225306298e-05


9	499	1.5395037486131675	1.5393104548713834	0.0001932937417841174	1.539476314448582		1.0466952795891956e-10	1.0241079422303953e-05
10	500	1.5363682611636524	1.5362886504828681	7.961068078432554e-05	1.5363329460739004		8.175115852880783e-11	9.050689946397426e-06
11	500	1.5363757148879076	1.5363194940839406	5.622080396694429e-05	1.5363383283586267		6.105565324653905e-11	7.821637249647236e-06
12	500	1.5363823876981368	1.5363132692981036	6.91184000332079e-05	1.5363446483008398		1.1308101931782321e-10	1.0644605891577067e-05
13	500	1.5363946971057547	1.5363325793997245	6.211770603026245e-05	1.5363574801699758		6.674842614582165e-11	8.178153246722356e-06
14	500	1.5364145628577397	1.536348545587442	6.601727029775795e-05	1.5363701562067167		1.0772647959384489e-10	1.038953147752534e-05

15	499	1.5364255006599539	1.5363713998373314	5.410082262247151e-05	1.5363940257237392		4.831846400933437e-11	6.958123959621987e-06
16	500	1.5364501520132738	1.536392920025761	5.723198751272918e-05	1.5364133101364845		1.1539207848758535e-10	1.0752828704013706e-05
17	500	1.5364533757865577	1.5363988444600498	5.45313265079006e-05	1.536417292652844		7.135470514535427e-11	8.455631292011684e-06
18	499	1.5364575932228806	1.5363983714063612	5.9221816519405834e-05	1.5364132122237761		7.421075825650895e-11	8.623211457651343e-06
19	500	1.536407752386384	1.5363647921032706	4.2960283113346875e-05	1.5363876507733338		7.135413739740518e-11	8.455597652485992e-06
20	499	1.5364082354517907	1.5363651750514946	4.3060400296113244e-05	1.5363914751231433		2.4034129192195492e-11	4.907381225846865e-06
21	500	1.5364189429844843	1.536365290186255	5.365279822933111e-05	1.5363832175144003		7.69421845247463e-11	8.780454275224312e-06
22	500	1.5364159920305231	1.5363552158947418	6.0776135781370755e-05	1.5363831289507404		7.117591362956139e-11	8.445031126705422e-06
23	500	1.5364226948759072	1.5363634129890784	5.92818868287992e-05	1.5363829068357646		6.556200250031282e-11	8.105145851795054e-06

24	498	1.533877751131706	1.533813555994134	6.4195137572165e-05	1.5338339956507805		4.7164674483888824e-11	6.874559856842116e-06
25	499	1.5339587809735553	1.533876469631767	8.231134178826593e-05	1.5339061992937522		7.846024580265665e-11	8.866667722264068e-06
26	499	1.5339861580171752	1.5339310059641342	5.515205304096327e-05	1.5339515557030683		4.7947527183394867e-11	6.9313640330357724e-06
27	499	1.534028522603051	1.5339517978000594	7.672480299159012e-05	1.5339761935335463		6.50349728925418e-11	8.072519136402655e-06
29	499	1.5340223003201439	1.5339583905165428	6.39098036010477e-05	1.5339778633888395		6.465101716845818e-11	8.048654452023243e-06
